postcode_district,price_2021,price_2022,price_2023,price_2024_predicted,change_2021_2022,change_2022_2023,change_2023_2024
BR8,370743.8202247191,404644.0366972477,366471.4285714286,358121.17820945947,9.14,-9.43,-2.28
CT1,296684.987357775,283082.19527363183,280616.2745098039,276382.4524160617,-4.58,-0.87,-1.51
CT10,355908.2840236686,370590.32258064515,365653.7315270936,363965.00244372035,4.13,-1.33,-0.46
CT11,258392.99610894942,282068.07180851063,285801.3972055888,271231.3319012697,9.16,1.32,-5.1
CT12,271601.4962593516,295245.85635359114,276264.762295082,298842.8059129902,8.71,-6.43,8.17
CT13,341619.36090225563,373036.3321799308,368596.3855421687,350543.31944444444,9.2,-1.19,-4.9
CT14,320677.82038834953,341267.93842034804,339733.2466442953,328244.6299364123,6.42,-0.45,-3.38
CT15,330969.387755102,338878.44036697247,326957.14285714284,352839.2992378049,2.39,-3.52,7.92
CT16,235500.2151238592,265405.15972222225,251252.0969072165,262099.70077314012,12.7,-5.33,4.32
CT17,178416.2162162162,210129.03225806452,179157.25806451612,188861.32489583333,17.77,-14.74,5.42
CT18,304121.4574898785,322533.3333333333,320804.1958041958,321506.3470394737,6.05,-0.54,0.22
CT19,234584.54545454544,256665.306122449,251420.93023255814,261948.50219042055,9.41,-2.04,4.19
CT2,311833.3333333333,348744.0119760479,348230.57352941175,348829.0289115646,11.84,-0.15,0.17
CT20,252503.74181478017,260178.63582443653,258891.0855263158,257269.29392338177,3.04,-0.49,-0.63
CT21,363617.54957507085,400313.2748538012,368648.91041162226,374130.1288448953,10.09,-7.91,1.49
CT3,331609.63963963964,384338.081300813,354579.98055555555,331942.24503391475,15.9,-7.74,-6.38
CT4,383178.5028790787,412219.93769470404,415655.3070866142,415759.97288306453,7.58,0.83,0.03
CT5,392125.83518930955,419016.35111876077,409614.7619047619,398458.0513516636,6.86,-2.24,-2.72
CT6,318801.00619195047,343092.7710843373,327653.3822152886,328759.81542579684,7.62,-4.5,0.34
CT7,303105.46875,346543.4651162791,335256.41025641025,325953.6422483766,14.33,-3.26,-2.77
CT8,252235.45081967214,287770.0,286172.6618705036,272355.0176303476,14.09,-0.56,-4.83
CT9,263424.6966115051,272949.8869223205,285771.5616045845,274472.01709487755,3.62,4.7,-3.95
DA1,317293.42979127134,331708.921460177,343562.55287009064,323423.5008281032,4.54,3.57,-5.86
DA10,292206.63265306124,274366.6666666667,336121.9512195122,321455.06732253084,-6.11,22.51,-4.36
DA11,293405.919395466,298803.0505181347,277776.96985815605,281609.1308734263,1.84,-7.04,1.38
DA12,313137.2549019608,339137.16814159293,341454.36579572444,328088.7489690722,8.3,0.68,-3.91
DA13,455247.08171206224,493514.85148514854,494353.5714285714,467730.92271706584,8.41,0.17,-5.39
DA2,362705.4054054054,398049.1525423729,393493.58974358975,374199.8270408163,9.74,-1.14,-4.9
DA3,450588.9726027397,460141.69381107495,481809.3220338983,505211.84027777775,2.12,4.71,4.86
DA4,344228.5714285714,370058.44155844155,355518.0722891566,349445.36204268294,7.5,-3.93,-1.71
DA5,489359.47712418303,522762.71186440677,518896.1038961039,510917.63425925927,6.83,-0.74,-1.54
DA9,336201.3475177305,380628.66096866096,350844.3252840909,311241.80154293374,13.21,-7.83,-11.29
ME1,305987.5463414634,339176.96774193546,348716.89497716894,333400.9922839506,10.85,2.81,-4.39
ME10,271696.73616103525,311173.4470989761,307304.0770101925,316468.8125836307,14.53,-1.24,2.98
ME11,267407.8014184397,298062.5,270337.7192982456,303793.0915605096,11.46,-9.3,12.38
ME12,256232.87671232875,270342.2712933754,265048.42342342343,273559.74210858584,5.51,-1.96,3.21
ME13,346491.6771752837,364766.7393292683,333102.5356125356,329717.5829432819,5.27,-8.68,-1.02
ME14,327786.2,342164.4657863145,300321.31516587676,320751.3032083863,4.39,-12.23,6.8
ME15,318828.58990944375,342183.88791593694,341713.11475409835,315698.0772976069,7.33,-0.14,-7.61
ME16,303125.32133676094,321030.21806853585,308654.83234714007,302669.7689659827,5.91,-3.85,-1.94
